PageRank Score             Document ID 
0.04024852331460177    Digital_object_identifier
0.031555489958157705    International_Standard_Book_Number
0.024854864915861898    National_Diet_Library
0.021796531208129508    PubMed_Identifier
0.02173420029397763    Wayback_Machine
0.01582571911018623    United_States
0.014910483076490427    Japan
0.013675915833499086    European_Union
0.009843343006226033    Handle_System
0.009455031426476013    California
0.007611509250838551    United_Kingdom
0.007592289330089241    Euro
0.007269082624065608    Renewable_energy
0.006199529744742225    Germany
0.0054054761097097346    France
0.004532247553307698    Italy
0.004213924511700868    Nuclear_power
0.004118908431147809    Natural_gas
0.004109259049971615    JSTOR
0.004104720153092643    Netherlands
0.004089378293668921    Efficient_energy_use
0.004037581899621519    Spain
0.0038631298180300663    Carbon_dioxide
0.003634919948079486    Climate_change
0.003491931014331111    Wind_power
0.003489027307712817    Portugal
0.003465198523538597    Brazil
0.0034551114741732296    Israel
0.00334543125785143    Biofuel
0.0032388549790287736    Fossil_fuel
0.0031540656080389896    Biomass
0.0030899819603097353    Hydroelectricity
0.0030370321682023044    Turkey
0.0030246520025941064    Global_warming
0.0030215879067046806    Sustainability
0.0030024552868236198    Coal
0.0029987622662657936    Hydrogen
0.0029962570962639248    Greenhouse_gas
0.002968111229817125    Washington,_D.C.
0.0029162667067196626    Denmark
0.0028395672893423416    Petroleum
0.0028310932750898092    Solar_energy
0.002792703753067219    Energy_conservation
0.0027446925809311382    Philippines
0.002729638368311025    Poland
0.002635927472134716    Cogeneration
0.0025944465795964674    Emissions_trading
0.0024757289101910015    Iceland
0.002467500925544817    Africa
0.0024324580244447333    United_States_Department_of_Energy
