PageRank Score           Document ID 
0.0026944737779135905    WT21-B37-76
0.0015331787464243057    WT21-B37-75
0.0014685026346493877    WT25-B39-116
0.0013735263702095326    WT23-B21-53
0.0012761659886317347    WT24-B26-10
0.001245220233833954    WT24-B40-171
0.0012428201898918606    WT23-B39-340
0.0012054223989578143    WT23-B37-134
0.0011447771363817276    WT08-B18-400
0.0011365568586814236    WT13-B06-284
0.0010549235209975844    WT13-B06-273
9.553818373443883E-4    WT01-B18-225
9.409628764270619E-4    WT04-B27-720
8.62237137104483E-4    WT24-B26-46
8.250703743756828E-4    WT23-B19-156
8.166230925403851E-4    WT04-B30-12
7.972234458701039E-4    WT25-B15-307
7.74971180715343E-4    WT07-B18-256
7.0758015352097E-4    WT24-B40-167
6.988445671149421E-4    WT14-B03-220
6.942248354645037E-4    WT18-B31-240
6.852478789395172E-4    WT14-B03-227
6.84679969276533E-4    WT04-B40-202
6.495324935436688E-4    WT08-B19-222
6.396317646852371E-4    WT23-B20-363
6.270795726695921E-4    WT27-B28-203
6.215371692638691E-4    WT13-B39-295
6.19858507206181E-4    WT13-B15-160
6.024557822505982E-4    WT12-B30-56
5.844495727608702E-4    WT10-B02-288
5.617077590998589E-4    WT14-B36-337
5.471878344218981E-4    WT21-B40-37
5.456973424712537E-4    WT21-B35-155
5.408514349774482E-4    WT23-B01-40
5.361216504681175E-4    WT08-B08-60
5.335784421590158E-4    WT22-B38-403
5.328944615217121E-4    WT13-B39-321
5.328365231843135E-4    WT04-B22-268
5.327508307294054E-4    WT14-B02-400
5.295579208458984E-4    WT18-B14-66
5.191624119777631E-4    WT06-B14-69
5.186556864896669E-4    WT23-B38-120
5.169278884773448E-4    WT06-B35-151
5.167739158385033E-4    WT10-B33-300
5.158622941953591E-4    WT14-B36-323
5.158622941953591E-4    WT14-B36-334
5.158622941953591E-4    WT14-B36-335
5.158622941953591E-4    WT14-B36-336
5.150219275495281E-4    WT06-B35-161
5.144799369151137E-4    WT27-B20-494
